id_,feature_platinum_customer
0,false
1,true
2,true
3,true
4,false
5,false
6,false
7,false
8,false
9,true
10,false
11,false
12,false
13,false
14,false
15,false
16,false
17,false
18,false
19,true
20,false
21,true
22,true
23,false
24,false
25,false
26,false
27,false
28,false
29,false
30,true
31,false
32,false
33,false
34,true
35,false
36,false
37,false
38,false
39,false
40,false
41,true
42,false
43,false
44,true
45,true
46,false
47,false
48,false
49,false
50,false
51,false
52,false
53,false
54,false
55,false
56,true
57,false
58,true
59,false
60,false
61,false
62,false
63,true
64,false
65,true
66,false
67,false
68,false
69,false
70,true
71,false
72,false
73,false
74,false
75,false
76,false
77,true
78,false
79,false
80,true
81,false
82,false
83,false
84,false
85,false
86,false
87,false
88,true
89,true
90,false
91,false
92,true
93,false
94,false
95,true
96,false
97,false
98,false
99,false
100,false
101,true
102,false
103,false
104,true
105,false
106,false
107,true
108,true
109,false
110,false
111,true
112,false
113,false
114,false
115,true
116,false
117,false
118,false
119,false
120,false
121,false
122,true
123,false
124,false
125,false
126,false
127,false
128,false
129,true
130,false
131,false
132,false
133,false
134,false
135,false
136,false
137,true
138,true
139,false
140,true
141,true
142,false
143,false
144,false
145,true
146,false
147,false
148,false
149,false
150,false
151,false
152,false
153,false
154,false
155,false
156,false
157,false
158,false
159,true
160,false
161,true
162,false
163,false
164,false
165,true
166,false
167,false
168,false
169,false
170,true
171,false
172,false
173,false
174,true
175,true
176,false
177,false
178,true
179,false
180,false
181,true
182,false
183,false
184,false
185,false
186,false
187,true
188,false
189,false
190,false
191,false
192,false
193,false
194,false
195,false
196,false
197,false
198,false
199,false
200,true
201,true
202,true
203,true
204,false
205,false
206,false
207,false
208,false
209,true
210,true
211,false
212,true
213,false
214,true
215,false
216,false
217,false
218,true
219,true
220,true
221,true
222,false
223,true
224,false
225,true
226,false
227,false
228,false
229,false
230,true
231,true
232,true
233,false
234,false
235,false
236,true
237,false
238,false
239,false
240,false
241,false
242,false
243,false
244,true
245,false
246,false
247,false
248,true
249,false
250,true
251,false
252,false
253,false
254,false
255,false
256,false
257,true
258,true
259,false
260,false
261,false
262,false
263,false
264,false
265,true
266,false
267,true
268,false
269,false
270,false
271,true
272,false
273,false
274,false
275,false
276,false
277,false
278,false
279,false
280,true
281,true
282,false
283,false
284,false
285,false
286,false
287,false
288,false
289,true
290,false
291,false
292,false
293,false
294,false
295,false
296,false
297,false
298,false
299,false
300,false
301,true
302,false
303,true
304,true
305,false
306,false
307,false
308,false
309,false
310,false
311,false
312,true
313,false
314,false
315,false
316,false
317,false
318,false
319,false
320,true
321,false
322,true
323,false
324,true
325,true
326,false
327,true
328,false
329,false
330,false
331,false
332,false
333,false
334,true
335,false
336,false
337,false
338,false
339,false
340,false
341,false
342,false
343,true
344,false
345,false
346,false
347,true
348,true
349,false
350,false
351,false
352,true
353,false
354,false
355,false
356,false
357,false
358,false
359,false
360,false
361,true
362,true
363,false
364,true
365,true
366,true
367,false
368,false
369,false
370,false
371,false
372,false
373,false
374,true
375,true
376,false
377,true
378,true
379,false
380,false
381,false
382,true
383,false
384,false
385,false
386,false
387,false
388,true
389,false
390,true
391,false
392,false
393,false
394,false
395,false
396,false
397,false
398,false
399,false
400,true
401,false
402,false
403,false
404,false
405,true
406,false
407,true
408,true
409,false
410,false
411,false
412,true
413,false
414,false
415,false
416,false
417,true
418,false
419,false
420,true
421,false
422,false
423,false
424,true
425,false
426,true
427,false
428,false
429,false
430,true
431,true
432,true
433,false
434,false
435,false
436,true
437,false
438,false
439,false
440,false
441,true
442,true
443,true
444,false
445,false
446,false
447,false
448,false
449,false
450,false
451,false
452,false
453,true
454,false
455,false
456,false
457,false
458,true
459,false
460,true
461,false
462,false
463,false
464,false
465,false
466,false
467,false
468,true
469,true
470,false
471,true
472,true
473,false
474,true
475,false
476,false
477,true
478,false
479,false
480,false
481,false
482,true
483,true
484,false
485,false
486,false
487,false
488,false
489,false
490,false
491,false
492,false
493,false
494,false
495,false
496,true
497,true
498,true
499,true
500,false
501,false
502,false
503,false
504,false
505,false
506,true
507,true
508,true
509,false
510,false
511,true
512,false
513,false
514,false
515,false
516,true
517,false
518,true
519,false
520,false
521,false
522,false
523,false
524,false
525,false
526,false
527,false
528,false
529,false
530,false
531,false
532,false
533,false
534,false
535,false
536,false
537,false
538,true
539,true
540,true
