id_,event_timestamps,values,cohort_id
0,[1546300800, 1546300900],[0, 0],0
1,[1546300800, 1546300900],[0, 0],1
2,[1546300800, 1546300900],[0, 0],0
3,[1546300800, 1546300850],[0, 20],0
4,[1546300800, 1546300850],[0, 20],0
5,[1546300800, 1546300850],[0, 20],1
6,[1546300800, 1546300900],[0, 20],1
7,[1546300800, 1546300900],[0, 20],1
8,[1546300800, 1546300900],[0, 20],0
9,[1546300800, 1546300890],[0, 20],1
10,[1546300800, 1546300890],[0, 20],1
11,[1546300800, 1546300890],[0, 20],0
12,[1546300950, 1546301000],[10, 20],0
13,[1546300950, 1546301000],[10, 20],1
14,[1546300950, 1546301000],[10, 20],1
15,[1546300850, 1546300950],[10, 20],0
16,[1546300850, 1546300950],[10, 20],0
17,[1546300850, 1546300950],[10, 20],0
18,[1546300830, 1546300850],[10, 20],0
19,[1546300830, 1546300850],[10, 20],0
20,[1546300830, 1546300850],[10, 20],0
21,[1546300800, 1546300800],[0, 0],0
22,[1546300800, 1546300800],[0, 0],0
23,[1546300800, 1546300800],[0, 0],0
24,[1546300800, 1546300900],[0, 50],0
25,[1546300800, 1546300850],[0, 50],0
26,[1546300800, 1546300950],[0, 50],2
27,[1546300950, 1546301000],[10, 20],2
28,[1546300850, 1546300950],[10, 20],0
29,[1546300830, 1546300850],[10, 20],0
30,[1546300800, 1546301000],[0, -50],2
31,[1546300800, 1546301000],[0, -50],2
32,[1546300800, 1546301000],[0, -50],2
